;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
73;Col4a5;COL4A5;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-62,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
74;Col4a6;COL4A6;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-43,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
75;Col4a6;COL4A6;decrease;decreased gene expression;mRNA;brain;mouse;ICR;male;-38,00;;n/a;n/a;1;18;n/a;n/a;months;10.1371/journal.pone.0048974;n/a;;;;;
76;Csf2;CSF2;increase;increased gene expression;mRNA;brain;mouse;C57BL/6;male;1 500,00;<0.05;n/a;n/a;2;16;n/a;n/a;weeks;10.1007/s11033-012-2219-2;n/a;;;;;
77;Ctf1;CTF1;increase;increased gene expression;mRNA;brain;mouse;C57BL/6;n/a;n/a;;n/a;n/a;4;8;n/a;n/a;months;10.4172/2155-9570.1000286;n/a;;;;;
78;Cxcl9;CXCL9;increase;increased gene expression;mRNA;brain;mouse;wild type;both;120,00;;n/a;n/a;3.5;24;n/a;n/a;months;10.1038/s43587-021-00082-y;n/a;;;;;
79;Cybb;CYBB;increase;increased gene expression;mRNA;brain;mouse;C57BL/6;male;118,00;<0.05;2;24;3;25;4;26;months;10.1007/s00395-015-0506-5;n/a;;;;;
80;Cybb;CYBB;increase;increased gene expression;mRNA;brain;mouse;C57BL/6;male;89,00;;n/a;n/a;3;25;n/a;n/a;months;10.1016/j.exger.2010.05.002;n/a;;;;;
81;Cybb;CYBB;increase;increased gene expression;mRNA;brain;mouse;C57Bl/6J x B6.129S7-Sod2tm1Leb/J;both;50,00;;n/a;n/a;3;20;n/a;n/a;months;10.1152/ajpheart.00735.2012;n/a;;;;;
82;Dbn1;DBN1;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6;both;-80,00;;n/a;n/a;1;60;n/a;n/a;days;10.1016/j.bbrc.2014.04.152;n/a;;;;;
#ÑÑÛËÊÀ!;Dhfr;DHFR;increase;increased gene expression;mRNA;brain;mouse;C57BL/6;male;30,00;;n/a;n/a;4;28;n/a;n/a;months;10.1016/j.mad.2009.07.007;n/a;;;;;
#ÑÑÛËÊÀ!;Dixdc1;DIXDC1;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Dixdc1;DIXDC1;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6J;male;-72,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
